,Date,Away,AwayPoints,Home,HomePoints,HomeAbbreviation,AwayAbbreviation,GameUrl,A_Team,B_Team,Winner,PointDifferential
118,2024-11-08,Brooklyn Nets,104,Boston Celtics,108,BOS,BRK,https://www.basketball-reference.com/boxscores/202411080BOS.html,Boston Celtics,Brooklyn Nets,Home,4
119,2024-11-08,Golden State Warriors,117,Cleveland Cavaliers,136,CLE,GSW,https://www.basketball-reference.com/boxscores/202411080CLE.html,Cleveland Cavaliers,Golden State Warriors,Home,19
120,2024-11-08,Phoenix Suns,114,Dallas Mavericks,113,DAL,PHO,https://www.basketball-reference.com/boxscores/202411080DAL.html,Dallas Mavericks,Phoenix Suns,Away,-1
121,2024-11-08,Milwaukee Bucks,94,New York Knicks,116,NYK,MIL,https://www.basketball-reference.com/boxscores/202411080NYK.html,Milwaukee Bucks,New York Knicks,Home,22
122,2024-11-08,Washington Wizards,104,Memphis Grizzlies,128,MEM,WAS,https://www.basketball-reference.com/boxscores/202411080MEM.html,Memphis Grizzlies,Washington Wizards,Home,24
123,2024-11-08,Houston Rockets,107,Oklahoma City Thunder,126,OKC,HOU,https://www.basketball-reference.com/boxscores/202411080OKC.html,Houston Rockets,Oklahoma City Thunder,Home,19
124,2024-11-08,Miami Heat,122,Denver Nuggets,135,DEN,MIA,https://www.basketball-reference.com/boxscores/202411080DEN.html,Denver Nuggets,Miami Heat,Home,13
125,2024-11-08,Portland Trail Blazers,102,Minnesota Timberwolves,127,MIN,POR,https://www.basketball-reference.com/boxscores/202411080MIN.html,Minnesota Timberwolves,Portland Trail Blazers,Home,25
126,2024-11-08,Philadelphia 76ers,106,Los Angeles Lakers,116,LAL,PHI,https://www.basketball-reference.com/boxscores/202411080LAL.html,Los Angeles Lakers,Philadelphia 76ers,Home,10
127,2024-11-08,Los Angeles Clippers,107,Sacramento Kings,98,SAC,LAC,https://www.basketball-reference.com/boxscores/202411080SAC.html,Los Angeles Clippers,Sacramento Kings,Away,-9
128,2024-11-09,Utah Jazz,111,San Antonio Spurs,110,SAS,UTA,https://www.basketball-reference.com/boxscores/202411090SAS.html,San Antonio Spurs,Utah Jazz,Away,-1
129,2024-11-09,Chicago Bulls,125,Atlanta Hawks,113,ATL,CHI,https://www.basketball-reference.com/boxscores/202411090ATL.html,Atlanta Hawks,Chicago Bulls,Away,-12
130,2024-11-09,Brooklyn Nets,100,Cleveland Cavaliers,105,CLE,BRK,https://www.basketball-reference.com/boxscores/202411090CLE.html,Brooklyn Nets,Cleveland Cavaliers,Home,5
131,2024-11-09,Toronto Raptors,103,Los Angeles Clippers,105,LAC,TOR,https://www.basketball-reference.com/boxscores/202411090LAC.html,Los Angeles Clippers,Toronto Raptors,Home,2
132,2024-11-10,Houston Rockets,101,Detroit Pistons,99,DET,HOU,https://www.basketball-reference.com/boxscores/202411100DET.html,Detroit Pistons,Houston Rockets,Away,-2
133,2024-11-10,Boston Celtics,113,Milwaukee Bucks,107,MIL,BOS,https://www.basketball-reference.com/boxscores/202411100MIL.html,Boston Celtics,Milwaukee Bucks,Away,-6
134,2024-11-10,New York Knicks,121,Indiana Pacers,132,IND,NYK,https://www.basketball-reference.com/boxscores/202411100IND.html,Indiana Pacers,New York Knicks,Home,11
135,2024-11-10,Washington Wizards,94,Orlando Magic,121,ORL,WAS,https://www.basketball-reference.com/boxscores/202411100ORL.html,Orlando Magic,Washington Wizards,Home,27
136,2024-11-10,Miami Heat,95,Minnesota Timberwolves,94,MIN,MIA,https://www.basketball-reference.com/boxscores/202411100MIN.html,Miami Heat,Minnesota Timberwolves,Away,-1
137,2024-11-10,Golden State Warriors,127,Oklahoma City Thunder,116,OKC,GSW,https://www.basketball-reference.com/boxscores/202411100OKC.html,Golden State Warriors,Oklahoma City Thunder,Away,-11
138,2024-11-10,Charlotte Hornets,105,Philadelphia 76ers,107,PHI,CHO,https://www.basketball-reference.com/boxscores/202411100PHI.html,Charlotte Hornets,Philadelphia 76ers,Home,2
139,2024-11-10,Dallas Mavericks,120,Denver Nuggets,122,DEN,DAL,https://www.basketball-reference.com/boxscores/202411100DEN.html,Dallas Mavericks,Denver Nuggets,Home,2
140,2024-11-10,Sacramento Kings,127,Phoenix Suns,118,PHO,SAC,https://www.basketball-reference.com/boxscores/202411100PHO.html,Phoenix Suns,Sacramento Kings,Away,-9
141,2024-11-10,Memphis Grizzlies,134,Portland Trail Blazers,89,POR,MEM,https://www.basketball-reference.com/boxscores/202411100POR.html,Memphis Grizzlies,Portland Trail Blazers,Away,-45
142,2024-11-10,Toronto Raptors,103,Los Angeles Lakers,123,LAL,TOR,https://www.basketball-reference.com/boxscores/202411100LAL.html,Los Angeles Lakers,Toronto Raptors,Home,20
143,2024-11-11,Cleveland Cavaliers,119,Chicago Bulls,113,CHI,CLE,https://www.basketball-reference.com/boxscores/202411110CHI.html,Chicago Bulls,Cleveland Cavaliers,Away,-6
144,2024-11-11,Washington Wizards,92,Houston Rockets,107,HOU,WAS,https://www.basketball-reference.com/boxscores/202411110HOU.html,Houston Rockets,Washington Wizards,Home,15
145,2024-11-11,Brooklyn Nets,107,New Orleans Pelicans,105,NOP,BRK,https://www.basketball-reference.com/boxscores/202411110NOP.html,Brooklyn Nets,New Orleans Pelicans,Away,-2
146,2024-11-11,Los Angeles Clippers,128,Oklahoma City Thunder,134,OKC,LAC,https://www.basketball-reference.com/boxscores/202411110OKC.html,Los Angeles Clippers,Oklahoma City Thunder,Home,6
147,2024-11-11,Sacramento Kings,96,San Antonio Spurs,116,SAS,SAC,https://www.basketball-reference.com/boxscores/202411110SAS.html,Sacramento Kings,San Antonio Spurs,Home,20
148,2024-11-12,Atlanta Hawks,117,Boston Celtics,116,BOS,ATL,https://www.basketball-reference.com/boxscores/202411120BOS.html,Atlanta Hawks,Boston Celtics,Away,-1
