Date,Team,away_basic_MP,away_basic_FG,away_basic_FGA,away_basic_FG%,away_basic_3P,away_basic_3PA,away_basic_3P%,away_basic_FT,away_basic_FTA,away_basic_FT%,away_basic_ORB,away_basic_DRB,away_basic_TRB,away_basic_AST,away_basic_STL,away_basic_BLK,away_basic_TOV,away_basic_PF,away_basic_PTS,away_advanced_MP,away_advanced_TS%,away_advanced_eFG%,away_advanced_3PAr,away_advanced_FTr,away_advanced_ORB%,away_advanced_DRB%,away_advanced_TRB%,away_advanced_AST%,away_advanced_STL%,away_advanced_BLK%,away_advanced_TOV%,away_advanced_USG%,away_advanced_ORtg,away_advanced_DRtg
2025-03-08,Detroit Pistons,240,39,85,0.459,5,23,0.217,27,36,0.75,13,31,44,17,12,4,20,29,110,240,0.545,0.488,0.271,0.424,27.1,73.8,48.9,43.6,11.3,9.3,16.6,100.0,103.9,108.6
2025-03-09,Denver Nuggets,240,40,97,0.412,12,40,0.3,11,20,0.55,14,34,48,22,3,6,8,18,103,240,0.487,0.474,0.412,0.206,23.3,77.3,46.2,55.0,3.1,10.7,7.0,100.0,105.1,129.5
2025-03-09,Phoenix Suns,240,49,84,0.583,10,28,0.357,17,18,0.944,6,40,46,33,4,4,13,10,125,240,0.68,0.643,0.333,0.214,18.2,88.9,59.0,67.3,4.1,8.7,12.4,100.0,129.2,119.9
2025-03-09,Memphis Grizzlies,240,41,99,0.414,13,49,0.265,12,19,0.632,23,34,57,24,11,6,14,22,107,240,0.498,0.48,0.495,0.192,44.2,77.3,59.4,58.5,11.5,11.8,11.5,100.0,112.2,109.0
2025-03-09,Utah Jazz,240,39,93,0.419,18,46,0.391,26,31,0.839,10,34,44,25,12,4,18,21,122,240,0.572,0.516,0.495,0.333,21.7,70.8,46.8,64.1,11.0,8.2,14.4,100.0,111.8,115.4
2025-03-09,Cleveland Cavaliers,240,39,88,0.443,19,47,0.404,15,19,0.789,13,31,44,25,11,2,15,15,112,240,0.581,0.551,0.534,0.216,27.1,67.4,46.8,64.1,11.3,3.3,13.5,100.0,115.2,102.9
2025-03-09,San Antonio Spurs,240,47,85,0.553,11,30,0.367,19,24,0.792,11,25,36,26,8,3,12,14,124,240,0.649,0.618,0.353,0.282,28.2,64.1,46.2,55.3,8.3,5.7,11.2,100.0,128.5,146.1
2025-03-09,Detroit Pistons,240,43,87,0.494,9,28,0.321,24,32,0.75,12,42,54,22,7,8,14,24,119,240,0.589,0.546,0.322,0.368,27.9,80.8,56.8,51.2,6.7,18.6,12.2,100.0,114.6,107.8
2025-03-09,Sacramento Kings,265,40,87,0.46,9,34,0.265,21,25,0.84,8,40,48,27,6,1,8,19,110,265,0.561,0.511,0.391,0.287,18.6,93.0,55.8,67.5,6.2,2.0,7.5,100.0,113.5,114.5
2025-03-10,Philadelphia 76ers,240,46,91,0.505,16,42,0.381,15,20,0.75,6,25,31,29,8,3,11,15,123,240,0.616,0.593,0.462,0.22,15.0,64.1,39.2,63.0,7.8,4.9,9.9,100.0,120.5,129.4
2025-03-10,Utah Jazz,240,43,95,0.453,13,38,0.342,9,12,0.75,14,34,48,29,3,4,12,13,108,240,0.538,0.521,0.4,0.126,28.6,73.9,50.5,67.4,3.2,10.0,10.7,100.0,113.5,119.8
2025-03-10,Los Angeles Lakers,240,37,85,0.435,19,40,0.475,15,19,0.789,8,35,43,31,4,4,15,20,108,240,0.578,0.547,0.471,0.224,20.5,68.6,47.8,83.8,4.2,8.9,13.8,100.0,114.7,117.9
2025-03-10,Charlotte Hornets,240,36,86,0.419,11,44,0.25,22,23,0.957,9,27,36,26,10,6,10,16,105,240,0.546,0.483,0.512,0.267,20.5,71.1,43.9,72.2,10.6,11.1,9.4,100.0,111.1,107.9
2025-03-10,Washington Wizards,240,38,105,0.362,16,55,0.291,12,15,0.8,16,38,54,25,5,12,8,20,104,240,0.466,0.438,0.524,0.143,26.2,57.6,42.5,65.8,5.0,20.0,6.7,100.0,104.1,119.1
2025-03-10,Indiana Pacers,240,40,101,0.396,10,40,0.25,13,19,0.684,8,31,39,30,14,4,10,13,103,240,0.471,0.446,0.396,0.188,14.8,75.6,41.1,75.0,12.9,6.2,8.4,100.0,94.6,111.1
2025-03-10,Orlando Magic,240,28,86,0.326,8,32,0.25,20,24,0.833,13,29,42,15,10,5,9,19,84,240,0.435,0.372,0.372,0.279,23.2,59.2,40.0,53.6,10.9,10.9,8.5,100.0,91.9,106.1
2025-03-10,Phoenix Suns,240,41,90,0.456,20,38,0.526,16,22,0.727,15,31,46,31,6,2,16,22,118,240,0.592,0.567,0.422,0.244,34.9,73.8,54.1,75.6,6.1,5.0,13.8,100.0,120.8,122.8
2025-03-10,Denver Nuggets,240,52,86,0.605,18,32,0.563,18,20,0.9,9,34,43,32,6,5,12,18,140,240,0.738,0.709,0.372,0.233,27.3,72.3,53.8,61.5,6.1,9.4,11.2,100.0,141.6,128.4
