Date,Team,basic_MP,basic_FG,basic_FGA,basic_FG%,basic_3P,basic_3PA,basic_3P%,basic_FT,basic_FTA,basic_FT%,basic_ORB,basic_DRB,basic_TRB,basic_AST,basic_STL,basic_BLK,basic_TOV,basic_PF,basic_PTS,advanced_MP,advanced_TS%,advanced_eFG%,advanced_3PAr,advanced_FTr,advanced_ORB%,advanced_DRB%,advanced_TRB%,advanced_AST%,advanced_STL%,advanced_BLK%,advanced_TOV%,advanced_USG%,advanced_ORtg,advanced_DRtg
2024-10-30,Charlotte Hornets,240.0,49.0,94.0,0.521,20.0,45.0,0.444,20.0,25.0,0.8,14.0,24.0,38.0,31.0,9.0,8.0,16.0,24.0,138.0,240.0,0.657,0.628,0.479,0.266,33.3,64.9,48.1,63.3,8.7,12.7,13.2,100.0,133.8,128.9
2024-10-30,Chicago Bulls,240.0,36.0,84.0,0.429,13.0,34.0,0.382,17.0,25.0,0.68,9.0,45.0,54.0,23.0,6.0,2.0,15.0,16.0,102.0,240.0,0.537,0.506,0.405,0.298,20.0,88.2,56.3,63.9,6.1,5.0,13.6,100.0,102.9,99.8
2024-10-30,Cleveland Cavaliers,240.0,56.0,97.0,0.577,17.0,41.0,0.415,5.0,8.0,0.625,6.0,30.0,36.0,37.0,14.0,2.0,12.0,26.0,134.0,240.0,0.667,0.665,0.423,0.082,15.8,85.7,49.3,66.1,13.3,4.1,10.7,100.0,127.3,104.5
2024-10-30,Detroit Pistons,240.0,35.5,84.5,0.4235,14.5,37.0,0.39249999999999996,16.0,19.5,0.821,15.5,36.0,51.5,18.5,5.0,5.5,17.0,22.0,101.5,240.0,0.5485,0.51,0.44,0.2345,32.55,80.0,56.05,51.95,5.35,12.2,15.45,100.0,109.75,108.4
2024-10-30,Golden State Warriors,240.0,41.666666666666664,90.66666666666667,0.459,16.0,42.333333333333336,0.375,11.333333333333334,16.0,0.7246666666666667,12.666666666666666,28.333333333333332,41.0,28.333333333333332,10.0,7.666666666666667,14.333333333333334,21.333333333333332,110.66666666666667,240.0,0.5656666666666667,0.5463333333333333,0.4666666666666666,0.17766666666666667,27.53333333333333,67.93333333333334,46.43333333333334,67.3,10.233333333333334,14.200000000000001,12.666666666666666,100.0,114.7,105.66666666666667
2024-10-30,Indiana Pacers,265.0,44.5,94.0,0.47250000000000003,14.0,35.0,0.4005,21.5,29.0,0.7545,11.5,35.5,47.0,30.5,9.0,4.5,19.5,26.0,124.5,265.0,0.5825,0.5475000000000001,0.373,0.318,24.900000000000002,64.75,46.75,68.9,8.100000000000001,8.35,15.5,100.0,112.05,112.6
2024-10-30,Los Angeles Clippers,240.0,41.0,90.0,0.456,13.0,36.0,0.361,10.0,18.0,0.556,13.0,36.0,49.0,26.0,10.0,5.0,14.0,19.0,105.0,240.0,0.536,0.528,0.4,0.2,27.1,75.0,51.0,63.4,10.4,8.5,12.5,100.0,108.7,109.8
2024-10-30,Los Angeles Lakers,240.0,38.5,85.5,0.4545,10.0,30.0,0.326,20.5,25.5,0.7849999999999999,8.0,33.5,41.5,23.0,5.5,3.0,16.5,13.0,107.5,240.0,0.558,0.5105,0.352,0.31,18.6,81.85,50.35,59.699999999999996,5.4,5.9,14.6,100.0,106.0,119.44999999999999
2024-10-30,Memphis Grizzlies,240.0,45.0,92.66666666666667,0.4876666666666667,11.666666666666666,34.666666666666664,0.33466666666666667,16.0,22.0,0.6963333333333334,12.0,34.666666666666664,46.666666666666664,34.0,8.0,5.666666666666667,16.666666666666668,22.0,117.66666666666667,240.0,0.578,0.5506666666666667,0.37166666666666665,0.25133333333333335,26.76666666666667,76.89999999999999,52.63333333333333,75.39999999999999,7.766666666666667,13.200000000000001,14.200000000000001,100.0,113.93333333333334,115.13333333333333
2024-10-30,Miami Heat,240.0,37.5,84.5,0.4445,16.0,43.5,0.372,15.5,22.0,0.7085,8.5,33.0,41.5,25.5,10.0,3.0,11.0,15.5,106.5,240.0,0.5660000000000001,0.5395000000000001,0.514,0.2615,19.45,73.15,46.5,68.1,10.65,6.4,10.4,100.0,113.55000000000001,114.2
2024-10-30,New Orleans Pelicans,240.0,37.0,84.0,0.4466666666666666,9.333333333333334,29.0,0.3303333333333333,16.0,22.666666666666668,0.7000000000000001,14.0,30.0,44.0,23.666666666666668,6.666666666666667,6.666666666666667,18.666666666666668,17.333333333333332,99.33333333333333,240.0,0.5333333333333333,0.502,0.3423333333333334,0.273,33.5,66.26666666666667,51.166666666666664,64.46666666666667,7.033333333333334,12.6,16.666666666666668,100.0,104.73333333333333,124.0
2024-10-30,New York Knicks,240.0,40.0,82.0,0.488,18.0,40.0,0.45,18.0,20.0,0.9,7.0,35.0,42.0,30.0,8.0,4.0,11.0,16.0,116.0,240.0,0.639,0.598,0.488,0.244,17.9,83.3,51.9,75.0,8.6,9.8,10.8,100.0,124.9,115.2
2024-10-30,Oklahoma City Thunder,240.0,42.5,89.0,0.47750000000000004,16.5,40.5,0.4075,15.0,20.0,0.75,8.0,34.0,42.0,27.0,15.5,9.0,12.0,19.0,116.5,240.0,0.594,0.5700000000000001,0.455,0.22499999999999998,18.5,69.5,45.4,63.7,15.5,16.1,10.95,100.0,116.30000000000001,98.4
2024-10-30,Orlando Magic,240.0,36.0,86.5,0.416,14.0,47.0,0.2965,19.0,24.0,0.8069999999999999,9.0,32.5,41.5,23.0,9.5,7.0,15.5,19.5,105.0,240.0,0.5405,0.497,0.5435000000000001,0.2775,18.4,81.45,46.599999999999994,64.1,9.3,13.75,13.65,100.0,102.75,110.45
2024-10-30,Philadelphia 76ers,240.0,33.0,79.0,0.418,8.0,28.0,0.286,21.0,28.0,0.75,8.0,29.0,37.0,17.0,7.0,4.0,9.0,21.0,95.0,240.0,0.52,0.468,0.354,0.354,17.8,70.7,43.0,51.5,7.7,9.5,9.0,100.0,104.9,116.0
2024-10-30,Portland Trail Blazers,240.0,38.0,87.5,0.434,9.0,27.5,0.303,17.0,21.0,0.8165,12.0,34.5,46.5,18.0,7.0,5.0,15.5,20.0,102.0,240.0,0.527,0.484,0.312,0.2455,26.45,76.0,51.25,47.45,7.2,9.899999999999999,13.8,100.0,104.94999999999999,111.05000000000001
2024-10-30,San Antonio Spurs,240.0,35.0,85.0,0.412,12.0,36.0,0.333,11.0,13.0,0.846,13.0,39.0,52.0,22.0,6.0,6.0,22.0,8.0,93.0,240.0,0.513,0.482,0.424,0.153,27.7,88.6,57.1,62.9,6.1,12.5,19.5,100.0,94.1,106.2
2024-10-30,Toronto Raptors,240.0,52.0,91.0,0.571,9.0,28.0,0.321,20.0,30.0,0.667,13.0,28.0,41.0,37.0,9.0,5.0,14.0,25.0,133.0,240.0,0.638,0.621,0.308,0.33,35.1,66.7,51.9,71.2,8.7,10.2,11.8,100.0,128.9,133.8
2024-10-30,Washington Wizards,240.0,47.0,89.0,0.528,16.0,38.0,0.421,23.0,25.0,0.92,6.0,31.0,37.0,32.0,10.0,5.0,16.0,21.0,133.0,240.0,0.665,0.618,0.427,0.281,17.1,72.1,47.4,68.1,9.4,8.9,13.8,100.0,125.0,112.8
2024-10-31,Dallas Mavericks,240.0,41.0,90.0,0.456,10.5,34.5,0.3075,13.5,18.5,0.7324999999999999,11.5,32.0,43.5,24.0,7.5,9.5,12.0,25.0,106.0,240.0,0.5405,0.5145,0.382,0.207,25.450000000000003,65.6,46.25,58.3,7.7,16.1,10.8,100.0,109.85,109.15
2024-10-31,Houston Rockets,240.0,37.5,91.0,0.412,11.5,35.5,0.32,20.5,25.5,0.808,15.5,31.0,46.5,20.5,5.0,3.0,11.0,21.5,107.0,240.0,0.5255000000000001,0.477,0.393,0.28,34.45,70.0,52.1,54.8,5.4,5.5,9.8,100.0,116.05,110.1
2024-10-31,Los Angeles Clippers,240.0,43.0,91.5,0.47,12.5,35.5,0.352,13.5,19.5,0.683,14.0,34.5,48.5,26.5,9.0,6.5,14.0,20.5,112.0,240.0,0.5589999999999999,0.538,0.388,0.21300000000000002,29.85,77.75,53.1,61.7,9.3,13.55,12.25,100.0,115.2,118.85
2024-10-31,Memphis Grizzlies,240.0,44.5,90.0,0.49675,10.75,33.0,0.3225,19.0,24.25,0.748,10.75,38.25,49.0,32.0,7.5,5.0,16.75,21.75,118.75,240.0,0.593,0.55625,0.364,0.28300000000000003,24.925,78.8,54.375,71.675,7.275,11.3,14.425,100.0,114.80000000000001,110.175
2024-10-31,Milwaukee Bucks,240.0,37.0,84.0,0.44133333333333336,9.0,35.333333333333336,0.25833333333333336,20.0,27.0,0.6996666666666665,8.0,33.333333333333336,41.333333333333336,19.333333333333332,8.0,4.333333333333333,15.0,22.666666666666668,103.0,240.0,0.5403333333333333,0.496,0.4206666666666667,0.33166666666666667,17.066666666666666,81.76666666666667,47.1,52.666666666666664,7.866666666666667,9.633333333333333,13.6,100.0,101.53333333333335,116.86666666666667
2024-10-31,Phoenix Suns,240.0,42.0,82.0,0.512,18.0,39.0,0.462,23.0,28.0,0.821,8.0,31.0,39.0,29.0,12.0,4.0,12.0,20.0,125.0,240.0,0.663,0.622,0.476,0.341,19.5,67.4,44.8,69.0,12.3,6.9,11.3,100.0,127.9,121.7
2024-10-31,San Antonio Spurs,240.0,36.5,88.5,0.4125,12.0,39.5,0.30600000000000005,14.5,18.0,0.8145,12.0,35.0,47.0,23.5,11.5,6.5,16.5,12.5,99.5,240.0,0.516,0.48,0.4455,0.2015,25.049999999999997,78.0,50.650000000000006,64.35,11.649999999999999,13.25,14.6,100.0,100.75,97.7
2024-10-31,Utah Jazz,240.0,33.5,85.5,0.3915,10.5,40.0,0.2555,14.5,16.5,0.876,13.5,34.0,47.5,21.5,6.5,5.0,21.5,17.5,92.0,240.0,0.4955,0.4525,0.4645,0.1945,27.85,77.25,51.0,64.0,6.6,9.399999999999999,18.75,100.0,93.35,111.05000000000001
2024-11-01,Atlanta Hawks,240.0,40.0,86.5,0.4635,17.0,45.0,0.3775,20.0,27.0,0.75,7.0,32.5,39.5,31.0,10.0,5.5,14.5,22.0,117.0,240.0,0.5945,0.5615,0.5185,0.32,15.65,77.4,45.8,77.65,9.55,11.0,12.85,100.0,112.05,116.9
2024-11-01,Boston Celtics,252.5,42.5,97.5,0.4405,16.0,49.5,0.3215,27.0,33.0,0.8175,14.5,31.5,46.0,22.0,11.5,5.0,12.0,16.0,128.0,252.5,0.5745,0.5215000000000001,0.5055000000000001,0.3455,28.65,69.35,48.3,51.75,11.05,9.6,9.6,100.0,121.85,115.45
2024-11-01,Brooklyn Nets,248.33333333333334,45.666666666666664,93.66666666666667,0.48666666666666664,15.666666666666666,44.333333333333336,0.349,17.666666666666668,21.0,0.8456666666666667,9.333333333333334,35.333333333333336,44.666666666666664,31.333333333333332,8.0,5.0,10.666666666666666,26.0,124.66666666666667,248.33333333333334,0.605,0.5703333333333332,0.47333333333333333,0.224,21.0,80.36666666666666,50.699999999999996,67.96666666666667,7.966666666666666,10.200000000000001,9.4,100.0,122.8,117.33333333333333
2024-11-01,Charlotte Hornets,240.0,45.5,92.5,0.49150000000000005,19.5,46.5,0.42000000000000004,13.0,18.5,0.65,13.0,27.0,40.0,25.5,7.0,6.5,16.0,25.0,123.5,240.0,0.6114999999999999,0.597,0.503,0.199,30.95,69.05000000000001,49.35,55.45,6.949999999999999,12.05,13.75,100.0,123.10000000000001,128.4
2024-11-01,Chicago Bulls,240.0,41.5,94.0,0.441,21.0,48.5,0.429,15.0,20.5,0.7195,10.5,36.5,47.0,30.0,5.0,4.5,12.5,15.0,119.0,240.0,0.577,0.5515,0.515,0.22150000000000003,21.05,73.75,47.2,71.6,4.85,7.0,10.85,100.0,115.5,118.0
2024-11-01,Cleveland Cavaliers,240.0,50.0,92.0,0.5415,16.0,39.5,0.405,11.0,14.0,0.7375,6.5,36.0,42.5,31.0,10.0,3.0,12.5,23.5,127.0,240.0,0.6465000000000001,0.6285000000000001,0.43,0.156,16.85,85.7,52.5,61.449999999999996,9.55,5.55,11.3,100.0,121.94999999999999,105.2
