Date_SingleModel,Home_SingleModel,Away_SingleModel,ActualWinner_SingleModel,PredictedWinner_SingleModel,ActualSpread_SingleModel,PredictedSpread_SingleModel,SpreadError_SingleModel,Correct_SingleModel,HomePoints_SingleModel,AwayPoints_SingleModel,PredictedHomePoints_SingleModel,PredictedAwayPoints_SingleModel,Date_monthBatchRetrain,Home_monthBatchRetrain,Away_monthBatchRetrain,ActualWinner_monthBatchRetrain,PredictedWinner_monthBatchRetrain,ActualSpread_monthBatchRetrain,PredictedSpread_monthBatchRetrain,SpreadError_monthBatchRetrain,Correct_monthBatchRetrain,HomePoints_monthBatchRetrain,AwayPoints_monthBatchRetrain,PredictedHomePoints_monthBatchRetrain,PredictedAwayPoints_monthBatchRetrain
2024-11-13,Brooklyn Nets,Boston Celtics,Boston Celtics,Boston Celtics,25.0,17.3,7.699999999999999,True,114.0,139.0,112.9,130.1,2024-11-21,San Antonio Spurs,Utah Jazz,San Antonio Spurs,San Antonio Spurs,8.0,6.3,1.7000000000000002,True,126.0,118.0,121.2,114.8
2024-11-13,Orlando Magic,Indiana Pacers,Orlando Magic,Orlando Magic,4.0,7.1,3.0999999999999996,True,94.0,90.0,98.0,90.9,2024-11-21,Los Angeles Lakers,Orlando Magic,Orlando Magic,Los Angeles Lakers,1.0,8.9,7.9,False,118.0,119.0,120.3,111.4
2024-11-13,Philadelphia 76ers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,8.0,11.4,3.4000000000000004,True,106.0,114.0,105.8,117.2,2024-11-22,Washington Wizards,Boston Celtics,Boston Celtics,Boston Celtics,12.0,8.3,3.6999999999999993,True,96.0,108.0,107.7,115.9
2024-11-14,Utah Jazz,Dallas Mavericks,Utah Jazz,Utah Jazz,2.0,1.2,0.8,True,115.0,113.0,113.8,112.5,2024-11-22,Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers,Brooklyn Nets,15.0,5.5,9.5,False,113.0,98.0,100.9,106.4
2024-11-15,Sacramento Kings,Minnesota Timberwolves,Minnesota Timberwolves,Sacramento Kings,4.0,2.3,1.7000000000000002,False,126.0,130.0,125.3,122.9,2024-11-22,New Orleans Pelicans,Golden State Warriors,Golden State Warriors,Golden State Warriors,4.0,7.2,3.2,True,108.0,112.0,108.0,115.1
2024-11-15,Golden State Warriors,Memphis Grizzlies,Golden State Warriors,Golden State Warriors,5.0,2.2,2.8,True,123.0,118.0,121.2,119.0,2024-11-22,Chicago Bulls,Atlanta Hawks,Chicago Bulls,Chicago Bulls,14.0,0.2,13.8,True,136.0,122.0,117.5,117.3
2024-11-15,Oklahoma City Thunder,Phoenix Suns,Oklahoma City Thunder,Oklahoma City Thunder,16.0,10.6,5.4,True,99.0,83.0,100.9,90.2,2024-11-22,Houston Rockets,Portland Trail Blazers,Houston Rockets,Houston Rockets,28.0,12.1,15.9,True,116.0,88.0,114.9,102.8
2024-11-15,New Orleans Pelicans,Denver Nuggets,New Orleans Pelicans,New Orleans Pelicans,7.0,2.7,4.3,True,101.0,94.0,102.2,99.5,2024-11-22,Milwaukee Bucks,Indiana Pacers,Milwaukee Bucks,Milwaukee Bucks,12.0,8.9,3.0999999999999996,True,129.0,117.0,115.7,106.8
2024-11-15,San Antonio Spurs,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,5.0,0.7,4.3,True,115.0,120.0,112.0,112.8,2024-11-22,Denver Nuggets,Dallas Mavericks,Dallas Mavericks,Denver Nuggets,3.0,0.5,2.5,False,120.0,123.0,123.0,122.5
2024-11-15,Houston Rockets,Los Angeles Clippers,Houston Rockets,Houston Rockets,21.0,13.0,8.0,True,125.0,104.0,118.5,105.5,2024-11-22,Los Angeles Clippers,Sacramento Kings,Los Angeles Clippers,Los Angeles Clippers,16.0,2.1,13.9,True,104.0,88.0,106.7,104.6
